PAR_MJ,FAPAR_FRACION,T_MIN_DEGC,VPD_PA,RH_PERCENTAGE,TA_DEGC
4.19543,0.0205813,18.6471,2425.45,16.0626,23.5662
3.97705,0.0201784,16.4911,2261.16,16.2498,22.4396
3.11969,0.0197979,18.5153,2288.51,16.2778,22.6439
3.99078,0.0194386,17.0922,2200.78,17.6656,22.2743
4.35458,0.0190992,15.1425,2023.2,19.3704,21.2355
4.29546,0.0187787,14.7152,1948.58,19.1819,20.5838
4.29139,0.0184761,14.4972,1948.46,17.8898,20.3248
4.23905,0.0181904,13.901,1944.2,17.5935,20.2307
4.25627,0.0179206,15.5065,2081.3,15.9637,21.0218
4.38095,0.0176659,14.7763,2108.5,14.6154,20.9738
4.30661,0.0174254,15.0368,2130.63,16.9779,21.6043
4.05235,0.0171984,16.6149,2382.74,14.2953,22.9246
4.32606,0.016984,16.3722,2343.63,14.18,22.6282
4.23987,0.0167817,16.214,2201.03,18.7549,22.4961
3.85357,0.0165907,17.4489,2368.66,16.0814,23.1758
4.24388,0.0164104,17.2365,2515.63,14.1307,23.7956
4.23631,0.0162402,18.1713,2570.33,14.2174,24.1721
4.36022,0.0160796,18.7143,2546.53,16.8447,24.5376
4.36895,0.0159279,17.9757,2444.92,20.203,24.5461
4.32841,0.0157848,16.0744,2426.2,20.721,24.5264
3.48963,0.0156497,16.746,2414.85,21.9908,24.7188
3.10191,0.0155222,19.5155,2649.43,20.3316,25.929
2.13357,0.0154019,21.4452,2620.72,23.684,26.4746
4.01111,0.0152884,22.8046,2804.83,30.1693,29.1713
4.14934,0.0151812,24.9398,3476.78,19.7107,30.485
4.18575,0.01508,22.4108,3155.45,20.2892,28.9187
4.46555,0.0149846,22.0011,3363.29,17.0687,29.339
4.54962,0.0148945,19.1935,3201.52,14.0503,27.8668
4.31279,0.0148095,20.8507,3187.38,13.9011,27.7608
4.49647,0.0147293,21.5692,3164.16,17.0993,28.2872
4.56655,0.0146536,20.9167,3130.92,16.2912,27.9378
4.61725,0.0145822,18.7614,2961.04,16.6136,27.0464
4.56657,0.0145148,20.4191,3012.46,18.5226,27.739
4.53589,0.0144512,19.5028,2965.62,22.2138,28.2678
4.55805,0.0143912,19.9389,3167.07,14.0411,27.6789
4.76059,0.0143346,18.3683,3000.88,12.3855,26.4302
4.78884,0.0142812,18.2716,3040.66,12.3555,26.6488
4.78317,0.0142308,19.39,3122.38,12.038,27.0401
4.48486,0.0141833,19.9821,3057.74,12.978,26.8661
4.67486,0.0141384,19.7106,2976.49,13.5843,26.5259
4.78111,0.0140961,19.0164,2971.75,13.3379,26.4502
4.81302,0.0140562,18.4261,3001.64,15.0149,26.9545
4.72798,0.0140186,20.5071,3041.74,18.7392,27.9513
4.71531,0.0139831,22.6918,3073.31,22.0483,28.8483
4.75943,0.0139496,21.841,3317.03,15.2095,28.7134
4.45512,0.013918,22.2663,3218.33,19.4062,29.07
4.352,0.0138882,23.2953,3589.41,15.7034,30.19
4.5568,0.0138601,24.4811,3801.06,11.7699,30.3949
4.79876,0.0138337,24.6396,3863.21,9.68238,30.2692
4.85278,0.0138087,22.247,3754.98,10.9059,30.0105
4.56511,0.0137852,23.7992,3793.23,11.849,30.3744
4.82033,0.0137631,22.2565,3660.13,13.4037,30.0604
4.84888,0.0137422,20.7042,2847.46,26.5201,28.5495
3.86335,0.0137225,21.5424,2590.46,33.0169,28.5145
3.62557,0.013704,25.8483,3855.88,16.5625,31.6315
4.79379,0.0136866,27.4936,4339.19,10.0804,32.3999
4.99106,0.0136702,25.7584,4069.33,13.4246,31.9322
4.64345,0.0136548,24.0258,3840,10.1265,30.25
5.21208,0.0136403,21.3705,3656.31,9.30956,29.2362
5.25026,0.0136267,21.2223,3697.37,7.95998,29.1735
5.26329,0.0136139,21.0373,3709.39,6.85922,29.0234
5.2727,0.0136018,21.0524,3639.53,8.35985,28.9753
5.32511,0.0135906,21.5243,3751.87,8.404,29.5124
5.3751,0.01358,20.798,3804.17,8.89998,29.8487
5.46392,0.0135701,21.8329,3997.44,8.48075,30.6367
5.4683,0.0135609,21.1884,3860.35,9.30326,30.1828
5.45998,0.0135523,21.4037,3638.39,11.9189,29.6592
5.41937,0.0135443,20.6527,3596.85,13.2013,29.7147
5.31323,0.0135368,22.9079,3908.57,11.8035,30.8918
5.4729,0.0135299,22.6156,3755.32,12.432,30.3147
5.46789,0.0135235,22.6322,3768.05,10.4263,29.9773
5.50033,0.0135175,23.4789,4006.42,9.74204,30.9203
5.51957,0.0135121,23.4904,3934.13,10.7679,30.801
5.4005,0.0135071,23.7306,3539.88,15.5637,29.9179
5.48778,0.0135026,18.2672,2512.4,29.2416,27.0449
5.54975,0.0134986,20.5438,2991.26,19.1025,27.7404
5.53892,0.0134949,20.5336,3076.21,17.7996,27.9473
5.5001,0.0134917,19.5614,2516.46,29.0305,27.0215
5.48661,0.0134889,20.4359,2759.42,24.0977,27.4493
5.49989,0.0134865,21.3395,3243.38,18.1801,28.9425
5.49848,0.0134845,23.4196,3642.85,17.235,30.7713
5.51734,0.0134829,23.9972,3494.06,18.1243,30.2288
5.53283,0.0134817,19.4755,2133.58,32.5604,25.0851
5.46762,0.0134809,17.3119,1904.43,34.2755,23.6123
5.62856,0.0134806,17.4367,2634.1,20.585,25.8846
5.59539,0.0134806,20.6752,2906.19,21.0504,27.6633
5.52667,0.0134811,19.3671,2309.02,32.1988,26.3329
5.43647,0.013482,20.1388,2633.57,27.8828,27.5261
5.14762,0.0134833,24.3053,3636.15,19.0405,31.1275
5.48691,0.0134851,25.8263,4137.71,15.7605,32.7155
5.63436,0.0134873,25.7077,4374.33,14.3208,33.4073
5.63284,0.0134901,26.849,4432.23,17.7597,34.3816
5.6275,0.0134933,27.5165,4303.79,21.1511,34.6114
5.56426,0.0134971,26.5878,4091.19,19.2064,33.2602
5.69947,0.0135014,21.797,3150.02,24.9852,29.9463
5.7266,0.0135063,21.5673,3056.9,28.0052,30.1403
5.79089,0.0135118,22.9567,3774.7,20.5872,32.1311
5.84546,0.013518,25.4804,4559.11,12.6934,33.8126
5.87545,0.0135249,25.7609,4777.09,10.9108,34.2901
5.96202,0.0135325,25.2331,4623.53,10.5051,33.6198
5.97943,0.0135408,24.5553,4739.51,8.69537,33.7053
5.89352,0.01355,22.7694,4182.1,14.5348,32.6482
5.73147,0.0135601,22.235,3519.08,23.8903,31.6408
5.61401,0.013571,26.1603,3778.06,21.0171,32.2434
5.00941,0.013583,23.3869,3015.07,27.959,29.888
5.6942,0.0135961,21.7846,2910,27.5296,29.1662
5.56405,0.0136102,22.4008,2850.32,29.0586,29.1767
5.71468,0.0136256,21.0739,2534.81,33.8619,28.3585
5.17346,0.0136423,20.381,2126.24,36.5628,26.062
5.73904,0.0136604,19.6535,2491.44,31.0404,27.3424
5.81632,0.01368,21.3986,3202.17,22.5112,29.6664
5.90848,0.0137012,23.3014,3881.45,13.9931,31.2122
5.90701,0.0137242,22.6608,3612.73,18.0226,30.7935
4.93605,0.0137489,21.6847,2345.12,34.4116,27.1641
5.73766,0.0137757,18.7709,2162.92,36.0268,26.2097
